 # CATAID  RA   DEC Z_TONRY nQ  M_r  DistanceToEdge Completeness DistanceTo5nn SurfaceDensity SurfaceDensityErr SurfaceDensityFlag CountInCyl CountInCylErr CountInCylFlag AGEDenPar  AGEErr AGEScale AGEDenParFlag
   5139820  343.516125800000 -32.66318549999999732 0.17047     4  -21.046   28.59976  1.0000    3.833        0.108    0.0487     0     0.000     0.0     0    0.348    3.317    1.200     0
   5156250  345.916707300000 -32.35177079999999705 0.16947     4  -21.202   28.62150  1.0000    4.078        0.096    0.0092     0     0.000     0.0     0    0.095    2.236    1.000     0
   5100696  340.215203600000 -32.51088879999999648 0.17891     4  -20.251   13.13597  1.0000    3.342        0.143    0.0268     0     0.000     0.0     0    0.107    2.236    1.000     0
   5108748  340.076636900000 -30.84864930000000172 0.15091     4  -21.115    9.23937  1.0000    0.980        1.658    2.0206     0     5.000     2.2     0    0.795    3.606    1.400     0
   5113762  341.332639200000 -32.84557509999999780 0.14882     3  -20.714   21.05109  1.0000    5.500        0.053    0.0035     0     0.000     0.0     0    0.108    1.732    1.000     0
   5156069  346.362602100000 -32.38888750000000272 0.13926     4  -21.177   24.06766  1.0000    2.610        0.234    0.0003     0     0.000     0.0     0    0.070    1.732    1.000     0
   5147004  345.290078100000 -32.28185400000000271 0.17561     4  -20.198   28.73376  1.0000    2.243        0.316    0.1325     0     2.000     1.4     0    0.320    3.162    1.000     0
   5155531  345.770484800000 -32.50233519999999743 0.16893     4  -20.673   30.30474  1.0000    5.136        0.060    0.0026     0     0.000     0.0     0    0.067    1.732    1.000     0
   5100541  339.833276900000 -32.54544969999999893 0.17680     4  -19.681    8.90214  1.0000    1.477        0.730    1.0869     0     4.000     2.0     0    1.449    5.568    1.600     0
   5153451  345.325268600000 -32.93138019999999955 0.17583     4  -22.282   26.07990  1.0000    4.900        0.066    0.0065     0     0.000     0.0     0    0.154    2.449    1.000     0
   5108433  339.648230400000 -30.91174369999999882 0.13853     4  -19.866    5.57481  1.0000   14.287        0.010 -999.9000     2     0.000     0.0     0    0.917    2.828    1.800     0
   5150319  346.241049800000 -33.59309499999999815 0.15815     4  -19.611   16.02314  1.0000   26.418        0.001 -999.9000     2     0.000     0.0     0    0.045    1.000    1.000     0
