     cataidGAMA  gama_z   logMstarGAMA    dellogm     neff
     5103738     0.3260    10.9220     0.0491    32.00
     5103742     0.1704    10.1046     0.0987    11.05
     5103747     0.0290     9.4142     0.0001     1.00
     5103749     0.3252    10.4752     0.0769     1.79
     5103750     0.2987    10.9499     0.0734     8.22
     5103753     0.3017    10.8996     0.0574     6.89
     5103755     0.2639    11.0334     0.0415     5.86
     5103759     0.2994    10.7966     0.0708    39.29
     5103761     0.2630    11.0733     0.0307     2.37
     5103762     0.2054     9.7131     0.1126   215.48
     5103766     0.1129     9.4053     0.0894   142.50
     5103780     0.0288     8.3532     0.0872    21.00
     5103794     0.1256    10.0376     0.0962    10.67
     5103815     0.2940    10.5933     0.0802    43.38
     5103821     0.3251    10.6824     0.0875    37.52
     5103823     0.3005    11.4801     0.0124     1.01
     5103824     0.2985    10.8475     0.0660     7.81
     5103828     0.1133     9.5942     0.0896     2.42
     5103832     0.2621    10.8016     0.1506     4.51
     5103834     0.1216     9.6703     0.0761    11.64
     5103840     0.2668    10.3299     0.1617    31.08
