,cataid,ra,dec,z1,template1,cc_sigma,z2,template2,cc_sigma.1,spec_id,t1_type,t2_type,spec_type
112,231746,185.333,1.9226,0.4231,40,9.5,0.4604,47,6.9,G12_Y2_002_280,PG,ELG,PG+ELG
113,231307,183.1517,1.9702,0.1896,40,12.2,0.2177,47,6.7,G12_Y2_003_236,PG,ELG,PG+ELG
124,690020,179.396,-1.1398,0.2628,40,8.8,0.3479,47,6.4,G12_Y3_006_143,PG,ELG,PG+ELG
127,136800,176.0529,-1.7746,0.2642,40,9.2,0.589,47,7.1,G12_Y3_020_097,PG,ELG,PG+ELG
128,7242,176.2923,0.7391,0.5291,40,8.3,0.642,47,8.2,G12_Y3_021_292,PG,ELG,PG+ELG
130,560853,181.9881,-0.5279,0.2237,40,7.1,0.6817,47,5.4,G12_Y3_028_360,PG,ELG,PG+ELG
136,130303,176.7894,-2.1851,0.3978,40,7.5,0.4349,47,7.7,G12_Y5_011_246,PG,ELG,PG+ELG
142,130303,176.7894,-2.1851,0.3976,40,7.9,0.4348,47,6.4,G12_Y6_073_063,PG,ELG,PG+ELG
144,14983,213.6345,0.75,0.2729,40,9.8,0.5278,47,9.4,G15_Y1_BN1_086,PG,ELG,PG+ELG
147,15221,214.6188,0.6294,0.2316,40,10.9,0.2794,47,7.7,G15_Y1_CS1_284,PG,ELG,PG+ELG
157,65298,222.4988,-0.4071,0.2529,40,8.7,0.6485,47,8.3,G15_Y1_IS1_185,PG,ELG,PG+ELG
168,617856,213.4935,0.3521,0.2315,40,11.7,0.2616,47,6.7,G15_Y3_016_322,PG,ELG,PG+ELG
169,106821,217.327,0.8671,0.1597,40,9.8,0.4519,47,6.2,G15_Y3_036_140,PG,ELG,PG+ELG
171,14983,213.6345,0.75,0.2728,40,10.4,0.5278,47,9.5,G15_Y3_037_054,PG,ELG,PG+ELG
174,298899,222.1406,1.165,0.3194,40,7,0.3737,47,6.3,G15_Y3_039_043,PG,ELG,PG+ELG
176,485756,217.119,-1.7949,0.2686,40,11.5,0.4042,47,6.2,G15_Y3_040_127,PG,ELG,PG+ELG
183,250209,214.1705,2.0739,0.3855,40,6.6,0.5534,47,7.1,G15_Y4_218_063,PG,ELG,PG+ELG
186,617535,211.9512,0.2306,0.262,40,6,0.5101,47,8,G15_Y4_233_237,PG,ELG,PG+ELG
189,65298,222.4988,-0.4071,0.2527,40,7.8,0.6486,47,6.7,G15_Y6_086_399,PG,ELG,PG+ELG
200,5137833,342.7772,-33.0433,0.3207,40,6.6,0.3278,47,6.2,G23_Y5_042_042,PG,ELG,PG+ELG
